Date Pulled,Artist
3/6/21,Ben Zaidi
3/6/21,glass beach
3/6/21,The Knocks
3/6/21,Arab Strap
3/6/21,Chase Atlantic
3/6/21,CMTEN
3/6/21,KALEO
3/6/21,Rules
3/6/21,Pan Amsterdam & Satoshi & Makoto
3/6/21,Field Works
3/6/21,To Twelve
3/6/21,Kat Cunning
3/6/21,Ruen Brothers
3/6/21,Gabo
3/6/21,The Vaccines
3/6/21,Psyence
3/6/21,Mike Polizze
3/6/21,Justin Townes Earle & Dawn Landes
3/6/21,Billy Nomates
3/6/21,Lucy Daydream
3/6/21,George Moir
3/6/21,Mating Ritual
3/6/21,FITZ & Fitz and The Tantrums
3/6/21,Painted Shrines
3/6/21,Sulene
3/6/21,Somebody's Child
3/6/21,Blu DeTiger
3/6/21,Danz CM
3/6/21,Mother Mother
3/6/21,Mother of Mars
3/6/21,Paleskin
3/6/21,Smile
3/6/21,Fiver
3/6/21,Sierra Hull
3/6/21,DMA'S
3/6/21,Barbarossa
3/6/21,url & Inadelle
3/6/21,Jungstotter
3/6/21,William The Conqueror
3/6/21,The Brook & The Bluff
3/6/21,daydream Masi
3/6/21,Ricky Montgomery & chloe moriondo
3/6/21,Verzache
3/6/21,Photay
3/6/21,Stehreo
3/6/21,DREAMERS
3/6/21,Fruit Bats
3/6/21,Cloud Mind
3/6/21,Ryan Caraveo
3/6/21,Choir Boy
3/6/21,IAN SWEET
3/6/21,Tyler Posey
3/6/21,Angus Maude
3/6/21,Melby
3/6/21,Anthony Ortiz
3/6/21,SYML
3/6/21,Jaguar Sun & Jesse Maranger
3/6/21,Amiture
3/6/21,Kings of Leon
3/6/21,Tasha
3/6/21,The Hunna
3/6/21,Bob Moses
3/6/21,min.a
3/6/21,Brother
3/6/21,Badflower
3/6/21,KOAD
3/6/21,Dog Train
3/6/21,No Rome
3/6/21,Ganser & Algiers
3/6/21,Hongza
3/6/21,Don Keller
3/6/21,3OH!3
3/6/21,Sunnbrella
3/6/21,Flownn & Orion
3/6/21,Lani Rose
3/6/21,Whispering Sons
3/6/21,CRi
3/6/21,Oliver Malcolm
3/6/21,Charlie Houston
3/6/21,Jordana & Ryan Woods
3/6/21,Cabra
3/6/21,underscores
3/6/21,Alaska Reid
3/6/21,PWNT
3/6/21,Jensen McRae
3/6/21,Ashe & FINNEAS
3/6/21,Soft Streak
3/6/21,toe
3/6/21,Bess Atwell
3/6/21,Ratboys
